ProgramId,Title,Description,Availability,Duration,EducationLevel,TargetLevel,Capacity,CreatedAt,ProgramPostStatus,MentorProfileId,DomainId,SubDomainId,Deadline
1273,Frontend Development for Beginners,This mentorship focuses on Frontend Development with practical applications.,Available,,sophomore,Junior,11,2024-09-29 00:00:00,1,1315,1,2,2024-11-27 00:00:00
2842,Mastering DevOps & Cloud,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,freshman,Junior,9,2025-01-10 00:00:00,1,331,1,5,2025-02-24 00:00:00
199,Introduction to Computer Vision,This mentorship focuses on Computer Vision with practical applications.,Available,,junior,Mid,4,2025-10-04 00:00:00,1,1093,2,9,2025-11-23 00:00:00
2964,Mastering Graphic Design,This mentorship focuses on Graphic Design with practical applications.,Available,,freshman,Mid,3,2024-06-09 00:00:00,1,143,3,16,2026-06-20 00:00:00
1408,Introduction to Data Analysis,This mentorship focuses on Data Analysis with practical applications.,Available,,freshman,Beginner,11,2025-08-28 00:00:00,1,826,2,11,2025-11-28 00:00:00
451,Introduction to UI/UX Design,This mentorship focuses on UI/UX Design with practical applications.,Available,,junior,Mid,7,2025-06-12 00:00:00,1,102,3,14,2026-04-18 00:00:00
2312,Introduction to Machine Learning,This mentorship focuses on Machine Learning with practical applications.,Available,,graduate,Mid,7,2025-10-03 00:00:00,1,762,2,7,2025-12-10 00:00:00
1372,Hands-on Career Coaching Training,This mentorship focuses on Career Coaching with practical applications.,Available,,freshman,Senior,10,2025-06-09 00:00:00,1,383,4,22,2025-07-02 00:00:00
175,DevOps & Cloud for Real Projects,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,sophomore,Junior,7,2025-07-28 00:00:00,1,610,1,5,2025-10-07 00:00:00
782,Hands-on Frontend Development Training,This mentorship focuses on Frontend Development with practical applications.,Available,,freshman,Senior,5,2024-07-01 00:00:00,1,658,1,2,2025-10-15 00:00:00
1028,Mobile Development for Beginners,This mentorship focuses on Mobile Development with practical applications.,Available,,sophomore,Senior,6,2025-08-24 00:00:00,1,524,1,4,2026-07-02 00:00:00
2121,Mobile Development for Beginners,This mentorship focuses on Mobile Development with practical applications.,Available,,graduate,Beginner,10,2025-06-11 00:00:00,1,1021,1,4,2026-06-05 00:00:00
1650,Introduction to Branding,This mentorship focuses on Branding with practical applications.,Available,,freshman,Senior,7,2025-02-27 00:00:00,1,864,3,18,2026-06-22 00:00:00
2269,Career Coaching for Beginners,This mentorship focuses on Career Coaching with practical applications.,Available,,junior,Junior,8,2025-08-14 00:00:00,1,278,4,22,2025-08-20 00:00:00
363,Full Stack Development for Beginners,This mentorship focuses on Full Stack Development with practical applications.,Available,,senior,Mid,6,2025-07-16 00:00:00,1,204,1,3,2026-07-03 00:00:00
1538,Branding for Beginners,This mentorship focuses on Branding with practical applications.,Available,,junior,Beginner,6,2025-08-02 00:00:00,1,1251,3,18,2026-06-16 00:00:00
1194,Hands-on Branding Training,This mentorship focuses on Branding with practical applications.,Available,,graduate,Senior,8,2025-01-11 00:00:00,1,517,3,18,2026-07-08 00:00:00
743,System Design for Beginners,This mentorship focuses on System Design with practical applications.,Available,,junior,Mid,6,2024-09-24 00:00:00,1,1437,1,6,2026-07-07 00:00:00
836,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,senior,Senior,7,2025-10-01 00:00:00,1,1430,1,1,2026-06-21 00:00:00
1148,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,junior,Junior,5,2025-07-08 00:00:00,1,645,1,1,2025-10-05 00:00:00
2322,Hands-on DevOps & Cloud Training,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,sophomore,Senior,3,2024-12-09 00:00:00,1,1094,1,5,2025-06-24 00:00:00
1708,Introduction to DevOps & Cloud,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,freshman,Senior,5,2025-10-07 00:00:00,1,967,1,5,2026-07-13 00:00:00
436,DevOps & Cloud for Beginners,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,sophomore,Junior,6,2024-06-09 00:00:00,1,929,1,5,2024-09-01 00:00:00
1405,Introduction to Data Analysis,This mentorship focuses on Data Analysis with practical applications.,Available,,freshman,Senior,8,2025-10-14 00:00:00,1,910,2,11,2026-06-02 00:00:00
1952,Mastering Computer Vision,This mentorship focuses on Computer Vision with practical applications.,Available,,graduate,Senior,7,2025-07-07 00:00:00,1,287,2,9,2026-05-31 00:00:00
1789,Career Coaching for Beginners,This mentorship focuses on Career Coaching with practical applications.,Available,,senior,Beginner,9,2025-03-03 00:00:00,1,1403,4,22,2025-05-14 00:00:00
627,Mastering UI/UX Design,This mentorship focuses on UI/UX Design with practical applications.,Available,,graduate,Beginner,6,2025-08-26 00:00:00,1,58,3,14,2025-11-14 00:00:00
2225,Mastering Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,sophomore,Beginner,12,2025-07-19 00:00:00,1,186,1,1,2025-10-08 00:00:00
2111,DevOps & Cloud for Beginners,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,freshman,Senior,6,2025-05-02 00:00:00,1,403,1,5,2025-09-28 00:00:00
1193,Product Design for Beginners,This mentorship focuses on Product Design with practical applications.,Available,,graduate,Senior,3,2024-06-27 00:00:00,1,517,3,15,2026-06-03 00:00:00
3037,System Design for Beginners,This mentorship focuses on System Design with practical applications.,Available,,senior,Beginner,9,2025-06-19 00:00:00,1,93,1,6,2025-09-18 00:00:00
1728,Introduction to System Design,This mentorship focuses on System Design with practical applications.,Available,,sophomore,Mid,5,2025-05-12 00:00:00,1,852,1,6,2026-06-04 00:00:00
1453,Frontend Development for Real Projects,This mentorship focuses on Frontend Development with practical applications.,Available,,senior,Junior,8,2024-12-29 00:00:00,1,933,1,2,2025-03-11 00:00:00
126,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,junior,Senior,10,2025-10-16 00:00:00,1,14,1,1,2025-12-29 00:00:00
850,Introduction to Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,graduate,Senior,10,2025-01-05 00:00:00,1,1288,1,4,2026-06-27 00:00:00
2295,Product Management for Beginners,This mentorship focuses on Product Management with practical applications.,Available,,senior,Junior,5,2025-01-09 00:00:00,1,1325,4,19,2025-04-26 00:00:00
730,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,freshman,Beginner,12,2024-03-31 00:00:00,1,441,1,1,2024-07-01 00:00:00
374,Career Coaching for Beginners,This mentorship focuses on Career Coaching with practical applications.,Available,,junior,Beginner,10,2024-06-18 00:00:00,1,134,4,22,2024-09-23 00:00:00
170,Product Management for Beginners,This mentorship focuses on Product Management with practical applications.,Available,,freshman,Beginner,10,2024-05-14 00:00:00,1,405,4,19,2024-07-16 00:00:00
900,Mastering System Design,This mentorship focuses on System Design with practical applications.,Available,,graduate,Senior,6,2025-09-29 00:00:00,1,379,1,6,2026-06-08 00:00:00
538,Introduction to Deep Learning,This mentorship focuses on Deep Learning with practical applications.,Available,,freshman,Senior,6,2025-08-11 00:00:00,1,914,2,8,2026-06-21 00:00:00
611,Introduction to Product Design,This mentorship focuses on Product Design with practical applications.,Available,,junior,Beginner,12,2025-06-20 00:00:00,1,156,3,15,2025-09-19 00:00:00
710,Introduction to UI/UX Design,This mentorship focuses on UI/UX Design with practical applications.,Available,,freshman,Junior,16,2025-07-10 00:00:00,1,151,3,14,2025-10-09 00:00:00
2643,Frontend Development for Beginners,This mentorship focuses on Frontend Development with practical applications.,Available,,freshman,Beginner,3,2025-08-11 00:00:00,1,941,1,2,2026-06-20 00:00:00
745,System Design for Real Projects,This mentorship focuses on System Design with practical applications.,Available,,graduate,Mid,6,2025-09-18 00:00:00,1,1437,1,6,2026-06-11 00:00:00
3094,Hands-on Branding Training,This mentorship focuses on Branding with practical applications.,Available,,junior,Mid,8,2024-12-13 00:00:00,1,1316,3,18,2026-07-10 00:00:00
1999,Mastering Data Science,This mentorship focuses on Data Science with practical applications.,Available,,sophomore,Mid,4,2025-09-21 00:00:00,1,296,2,12,2026-06-15 00:00:00
168,Hands-on Entrepreneurship Training,This mentorship focuses on Entrepreneurship with practical applications.,Available,,freshman,Senior,8,2023-12-31 00:00:00,1,405,4,23,2026-03-19 00:00:00
3190,System Design for Real Projects,This mentorship focuses on System Design with practical applications.,Available,,freshman,Junior,9,2025-06-25 00:00:00,1,830,1,6,2025-09-18 00:00:00
2560,Data Analysis for Beginners,This mentorship focuses on Data Analysis with practical applications.,Available,,senior,Junior,6,2025-08-17 00:00:00,1,1221,2,11,2026-07-11 00:00:00
397,Backend Development for Beginners,This mentorship focuses on Backend Development with practical applications.,Available,,sophomore,Mid,7,2025-01-04 00:00:00,1,843,1,1,2025-03-15 00:00:00
2171,Introduction to Career Coaching,This mentorship focuses on Career Coaching with practical applications.,Available,,freshman,Beginner,16,2025-02-05 00:00:00,1,1095,4,22,2025-05-05 00:00:00
2202,Mastering Career Coaching,This mentorship focuses on Career Coaching with practical applications.,Available,,freshman,Junior,7,2025-07-12 00:00:00,1,759,4,22,2025-10-03 00:00:00
1259,Machine Learning for Beginners,This mentorship focuses on Machine Learning with practical applications.,Available,,junior,Senior,6,2025-03-07 00:00:00,1,951,2,7,2025-05-28 00:00:00
2296,Entrepreneurship for Beginners,This mentorship focuses on Entrepreneurship with practical applications.,Available,,senior,Beginner,9,2025-05-01 00:00:00,1,1325,4,23,2025-07-28 00:00:00
2954,Introduction to Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Junior,8,2025-08-19 00:00:00,1,1190,1,4,2026-07-06 00:00:00
670,Mastering Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,freshman,Senior,7,2025-10-09 00:00:00,1,174,1,3,2026-03-21 00:00:00
1195,Hands-on Branding Training,This mentorship focuses on Branding with practical applications.,Available,,senior,Beginner,10,2025-07-22 00:00:00,1,517,3,18,2026-06-08 00:00:00
2016,Computer Vision for Real Projects,This mentorship focuses on Computer Vision with practical applications.,Available,,freshman,Junior,5,2025-05-11 00:00:00,1,786,2,9,2026-07-02 00:00:00
2076,Hands-on Product Design Training,This mentorship focuses on Product Design with practical applications.,Available,,graduate,Senior,5,2025-10-14 00:00:00,1,548,3,15,2026-07-14 00:00:00
2556,Data Analysis for Real Projects,This mentorship focuses on Data Analysis with practical applications.,Available,,sophomore,Senior,7,2025-06-06 00:00:00,1,1153,2,11,2026-06-13 00:00:00
3018,Frontend Development for Beginners,This mentorship focuses on Frontend Development with practical applications.,Available,,junior,Beginner,11,2025-07-17 00:00:00,1,105,1,2,2025-10-12 00:00:00
152,Mastering Branding,This mentorship focuses on Branding with practical applications.,Available,,senior,Beginner,7,2025-09-05 00:00:00,1,1408,3,18,2026-06-08 00:00:00
375,Introduction to Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Junior,5,2025-08-16 00:00:00,1,1365,1,3,2026-06-27 00:00:00
1096,Mastering System Design,This mentorship focuses on System Design with practical applications.,Available,,senior,Senior,10,2025-09-21 00:00:00,1,649,1,6,2026-06-22 00:00:00
89,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,sophomore,Junior,9,2025-05-19 00:00:00,1,489,1,3,2025-08-11 00:00:00
1086,Hands-on Deep Learning Training,This mentorship focuses on Deep Learning with practical applications.,Available,,graduate,Junior,10,2025-05-07 00:00:00,1,119,2,8,2026-07-08 00:00:00
1100,Mastering Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,senior,Junior,10,2025-10-11 00:00:00,1,994,1,3,2026-01-16 00:00:00
86,Graphic Design for Real Projects,This mentorship focuses on Graphic Design with practical applications.,Available,,senior,Mid,7,2025-04-03 00:00:00,1,243,3,16,2026-06-12 00:00:00
2743,DevOps & Cloud for Real Projects,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,sophomore,Beginner,5,2025-10-05 00:00:00,1,217,1,5,2026-07-11 00:00:00
3046,Frontend Development for Beginners,This mentorship focuses on Frontend Development with practical applications.,Available,,junior,Junior,9,2025-09-15 00:00:00,1,381,1,2,2025-09-27 00:00:00
2819,Introduction to Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,junior,Senior,10,2024-05-21 00:00:00,1,490,1,3,2024-07-18 00:00:00
1044,Deep Learning for Real Projects,This mentorship focuses on Deep Learning with practical applications.,Available,,graduate,Senior,8,2025-10-10 00:00:00,1,96,2,8,2026-06-12 00:00:00
2584,Hands-on Product Management Training,This mentorship focuses on Product Management with practical applications.,Available,,senior,Senior,6,2025-07-10 00:00:00,1,1099,4,19,2026-05-31 00:00:00
376,Hands-on Mobile Development Training,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Mid,7,2025-09-04 00:00:00,1,1365,1,4,2025-10-25 00:00:00
2839,Mastering Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,sophomore,Mid,8,2024-09-30 00:00:00,1,331,1,4,2026-06-18 00:00:00
2391,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,senior,Beginner,8,2024-06-06 00:00:00,1,318,1,1,2026-06-23 00:00:00
241,Backend Development for Real Projects,This mentorship focuses on Backend Development with practical applications.,Available,,junior,Mid,8,2025-06-05 00:00:00,1,883,1,1,2025-08-06 00:00:00
2275,Mastering Motion Design,This mentorship focuses on Motion Design with practical applications.,Available,,graduate,Senior,8,2025-07-07 00:00:00,1,809,3,17,2026-06-02 00:00:00
2071,Machine Learning for Real Projects,This mentorship focuses on Machine Learning with practical applications.,Available,,sophomore,Senior,8,2025-09-01 00:00:00,1,683,2,7,2026-06-11 00:00:00
498,Introduction to Frontend Development,This mentorship focuses on Frontend Development with practical applications.,Available,,senior,Senior,8,2025-01-29 00:00:00,1,192,1,2,2026-07-04 00:00:00
2486,Introduction to System Design,This mentorship focuses on System Design with practical applications.,Available,,sophomore,Beginner,4,2025-09-29 00:00:00,1,1247,1,6,2025-11-23 00:00:00
1303,Mobile Development for Real Projects,This mentorship focuses on Mobile Development with practical applications.,Available,,senior,Beginner,9,2025-04-24 00:00:00,1,938,1,4,2025-07-07 00:00:00
2488,Introduction to System Design,This mentorship focuses on System Design with practical applications.,Available,,freshman,Junior,9,2025-10-11 00:00:00,1,1247,1,6,2026-01-05 00:00:00
808,DevOps & Cloud for Real Projects,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,graduate,Senior,7,2024-09-07 00:00:00,1,236,1,5,2026-07-13 00:00:00
3170,Introduction to Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,senior,Beginner,14,2025-02-15 00:00:00,1,81,1,4,2025-05-18 17:16:00
1418,Backend Development for Beginners,This mentorship focuses on Backend Development with practical applications.,Available,,graduate,Junior,5,2025-10-14 00:00:00,1,1464,1,1,2026-01-06 00:00:00
2976,Introduction to Data Engineering,This mentorship focuses on Data Engineering with practical applications.,Available,,graduate,Junior,5,2025-10-16 00:00:00,1,1427,2,13,2026-06-11 00:00:00
2897,Hands-on Frontend Development Training,This mentorship focuses on Frontend Development with practical applications.,Available,,junior,Senior,8,2025-04-01 00:00:00,1,1220,1,2,2026-07-09 00:00:00
521,Mastering Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,senior,Senior,6,2025-07-03 00:00:00,1,158,1,1,2026-06-29 00:00:00
3131,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Junior,6,2025-05-20 00:00:00,1,1068,1,3,2025-08-07 00:00:00
2999,Business Analysis for Beginners,This mentorship focuses on Business Analysis with practical applications.,Available,,senior,Senior,6,2025-10-04 00:00:00,1,1342,4,20,2026-06-23 00:00:00
3031,Mastering DevOps & Cloud,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,freshman,Mid,9,2025-09-19 00:00:00,1,863,1,5,2025-11-22 00:00:00
681,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,freshman,Junior,10,2025-05-12 00:00:00,1,1426,1,3,2025-08-08 00:00:00
2043,Hands-on Computer Vision Training,This mentorship focuses on Computer Vision with practical applications.,Available,,junior,Mid,7,2025-10-16 00:00:00,1,600,2,9,2026-07-09 00:00:00
2081,Mobile Development for Real Projects,This mentorship focuses on Mobile Development with practical applications.,Available,,graduate,Senior,10,2025-10-06 00:00:00,1,146,1,4,2026-02-01 00:00:00
508,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Junior,8,2024-11-26 00:00:00,1,927,1,3,2026-06-07 00:00:00
2251,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,junior,Beginner,15,2025-02-21 00:00:00,1,785,1,3,2025-05-22 00:00:00
2372,Hands-on Mobile Development Training,This mentorship focuses on Mobile Development with practical applications.,Available,,sophomore,Senior,9,2025-02-09 00:00:00,1,194,1,4,2026-06-14 00:00:00
698,Hands-on Graphic Design Training,This mentorship focuses on Graphic Design with practical applications.,Available,,sophomore,Beginner,15,2025-04-14 00:00:00,1,407,3,16,2025-07-12 00:00:00
1795,Hands-on UI/UX Design Training,This mentorship focuses on UI/UX Design with practical applications.,Available,,graduate,Beginner,8,2025-10-14 00:00:00,1,1215,3,14,2026-06-06 00:00:00
1426,Hands-on Backend Development Training,This mentorship focuses on Backend Development with practical applications.,Available,,graduate,Mid,9,2025-09-14 00:00:00,1,564,1,1,2025-11-17 00:00:00
3133,Introduction to UI/UX Design,This mentorship focuses on UI/UX Design with practical applications.,Available,,sophomore,Beginner,8,2025-01-09 00:00:00,1,76,3,14,2026-07-03 00:00:00
1337,System Design for Real Projects,This mentorship focuses on System Design with practical applications.,Available,,sophomore,Junior,8,2025-07-16 00:00:00,1,716,1,6,2026-04-18 00:00:00
519,Mobile Development for Beginners,This mentorship focuses on Mobile Development with practical applications.,Available,,graduate,Junior,9,2023-11-24 00:00:00,1,158,1,4,2024-02-03 00:00:00
1131,Hands-on Deep Learning Training,This mentorship focuses on Deep Learning with practical applications.,Available,,freshman,Beginner,5,2025-06-15 00:00:00,1,668,2,8,2026-06-14 00:00:00
395,Mastering Frontend Development,This mentorship focuses on Frontend Development with practical applications.,Available,,graduate,Mid,10,2025-03-31 00:00:00,1,1336,1,2,2026-07-05 00:00:00
1375,Graphic Design for Beginners,This mentorship focuses on Graphic Design with practical applications.,Available,,sophomore,Beginner,15,2025-04-23 00:00:00,1,107,3,16,2025-07-24 00:00:00
329,Introduction to Frontend Development,This mentorship focuses on Frontend Development with practical applications.,Available,,freshman,Mid,9,2025-10-05 00:00:00,1,451,1,2,2026-01-23 00:00:00
2990,Mastering Data Science,This mentorship focuses on Data Science with practical applications.,Available,,senior,Junior,8,2025-08-11 00:00:00,1,1307,2,12,2026-07-05 00:00:00
2217,Mastering Deep Learning,This mentorship focuses on Deep Learning with practical applications.,Available,,graduate,Senior,5,2025-08-25 00:00:00,1,542,2,8,2026-06-23 00:00:00
1348,Hands-on Full Stack Development Training,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Senior,6,2025-09-27 00:00:00,1,1459,1,3,2026-06-21 00:00:00
