ProgramId,Title,Description,Availability,Duration,EducationLevel,TargetLevel,Capacity,CreatedAt,ProgramPostStatus,MentorProfileId,DomainId,SubDomainId
1955,Mastering Natural Language Processing,This mentorship focuses on Natural Language Processing with practical applications.,Available,,sophomore,Mid,2,2025-10-13 00:00:00,0,287,2,10
530,Introduction to Motion Design,This mentorship focuses on Motion Design with practical applications.,Available,,sophomore,Beginner,10,2025-09-09 00:00:00,0,307,3,17
1788,Mastering UI/UX Design,This mentorship focuses on UI/UX Design with practical applications.,Available,,senior,Mid,9,2025-07-06 00:00:00,0,329,3,14
398,Mastering System Design,This mentorship focuses on System Design with practical applications.,Available,,junior,Mid,9,2025-04-07 00:00:00,0,843,1,6
426,Mastering Graphic Design,This mentorship focuses on Graphic Design with practical applications.,Available,,junior,Junior,4,2025-06-19 00:00:00,0,672,3,16
3082,Hands-on System Design Training,This mentorship focuses on System Design with practical applications.,Available,,graduate,Junior,9,2025-07-05 00:00:00,0,193,1,6
1085,Hands-on Data Analysis Training,This mentorship focuses on Data Analysis with practical applications.,Available,,senior,Beginner,3,2025-04-17 00:00:00,0,119,2,11
1587,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,senior,Senior,6,2025-01-25 00:00:00,0,718,1,3
973,Full Stack Development for Beginners,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Beginner,6,2025-10-17 00:00:00,0,894,1,3
1273,Frontend Development for Beginners,This mentorship focuses on Frontend Development with practical applications.,Available,,sophomore,Junior,4,2024-09-29 00:00:00,0,1315,1,2
2842,Mastering DevOps & Cloud,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,freshman,Junior,9,2025-01-10 00:00:00,0,331,1,5
199,Introduction to Computer Vision,This mentorship focuses on Computer Vision with practical applications.,Available,,junior,Mid,3,2025-10-04 00:00:00,0,1093,2,9
2964,Mastering Graphic Design,This mentorship focuses on Graphic Design with practical applications.,Available,,freshman,Mid,3,2024-06-09 00:00:00,0,143,3,16
1408,Introduction to Data Analysis,This mentorship focuses on Data Analysis with practical applications.,Available,,freshman,Beginner,5,2025-08-28 00:00:00,1,826,2,11
451,Introduction to UI/UX Design,This mentorship focuses on UI/UX Design with practical applications.,Available,,junior,Mid,7,2025-06-12 00:00:00,0,102,3,14
2312,Introduction to Machine Learning,This mentorship focuses on Machine Learning with practical applications.,Available,,graduate,Mid,2,2025-10-03 00:00:00,0,762,2,7
1372,Hands-on Career Coaching Training,This mentorship focuses on Career Coaching with practical applications.,Available,,freshman,Senior,10,2025-06-09 00:00:00,0,383,4,22
175,DevOps & Cloud for Real Projects,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,sophomore,Junior,2,2025-07-28 00:00:00,1,610,1,5
782,Hands-on Frontend Development Training,This mentorship focuses on Frontend Development with practical applications.,Available,,freshman,Senior,3,2024-07-01 00:00:00,0,658,1,2
1028,Mobile Development for Beginners,This mentorship focuses on Mobile Development with practical applications.,Available,,sophomore,Senior,6,2025-08-24 00:00:00,0,524,1,4
2121,Mobile Development for Beginners,This mentorship focuses on Mobile Development with practical applications.,Available,,graduate,Beginner,10,2025-06-11 00:00:00,0,1021,1,4
1650,Introduction to Branding,This mentorship focuses on Branding with practical applications.,Available,,freshman,Senior,1,2025-02-27 00:00:00,0,864,3,18
2269,Career Coaching for Beginners,This mentorship focuses on Career Coaching with practical applications.,Available,,junior,Junior,3,2025-08-14 00:00:00,0,278,4,22
363,Full Stack Development for Beginners,This mentorship focuses on Full Stack Development with practical applications.,Available,,senior,Mid,5,2025-07-16 00:00:00,0,204,1,3
1538,Branding for Beginners,This mentorship focuses on Branding with practical applications.,Available,,junior,Beginner,6,2025-08-02 00:00:00,0,1251,3,18
1194,Hands-on Branding Training,This mentorship focuses on Branding with practical applications.,Available,,graduate,Senior,8,2025-01-11 00:00:00,0,517,3,18
743,System Design for Beginners,This mentorship focuses on System Design with practical applications.,Available,,junior,Mid,2,2024-09-24 00:00:00,0,1437,1,6
836,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,senior,Senior,7,2025-10-01 00:00:00,0,1430,1,1
1148,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,junior,Junior,1,2025-07-08 00:00:00,1,645,1,1
2322,Hands-on DevOps & Cloud Training,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,sophomore,Senior,1,2024-12-09 00:00:00,0,1094,1,5
1708,Introduction to DevOps & Cloud,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,freshman,Senior,5,2025-10-07 00:00:00,0,967,1,5
436,DevOps & Cloud for Beginners,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,sophomore,Junior,6,2024-06-09 00:00:00,0,929,1,5
1405,Introduction to Data Analysis,This mentorship focuses on Data Analysis with practical applications.,Available,,freshman,Senior,1,2025-10-14 00:00:00,0,910,2,11
1952,Mastering Computer Vision,This mentorship focuses on Computer Vision with practical applications.,Available,,graduate,Senior,7,2025-07-07 00:00:00,0,287,2,9
1789,Career Coaching for Beginners,This mentorship focuses on Career Coaching with practical applications.,Available,,senior,Beginner,5,2025-03-03 00:00:00,0,1403,4,22
627,Mastering UI/UX Design,This mentorship focuses on UI/UX Design with practical applications.,Available,,graduate,Beginner,4,2025-08-26 00:00:00,0,58,3,14
2225,Mastering Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,sophomore,Beginner,4,2025-07-19 00:00:00,0,186,1,1
2111,DevOps & Cloud for Beginners,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,freshman,Senior,6,2025-05-02 00:00:00,0,403,1,5
1193,Product Design for Beginners,This mentorship focuses on Product Design with practical applications.,Available,,graduate,Senior,2,2024-06-27 00:00:00,0,517,3,15
3037,System Design for Beginners,This mentorship focuses on System Design with practical applications.,Available,,senior,Beginner,9,2025-06-19 00:00:00,0,93,1,6
1728,Introduction to System Design,This mentorship focuses on System Design with practical applications.,Available,,sophomore,Mid,4,2025-05-12 00:00:00,0,852,1,6
1453,Frontend Development for Real Projects,This mentorship focuses on Frontend Development with practical applications.,Available,,senior,Junior,8,2024-12-29 00:00:00,0,933,1,2
126,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,junior,Senior,10,2025-10-16 00:00:00,0,14,1,1
850,Introduction to Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,graduate,Senior,10,2025-01-05 00:00:00,0,1288,1,4
2295,Product Management for Beginners,This mentorship focuses on Product Management with practical applications.,Available,,senior,Junior,4,2025-01-09 00:00:00,0,1325,4,19
730,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,freshman,Beginner,6,2024-03-31 00:00:00,1,441,1,1
374,Career Coaching for Beginners,This mentorship focuses on Career Coaching with practical applications.,Available,,junior,Beginner,10,2024-06-18 00:00:00,0,134,4,22
170,Product Management for Beginners,This mentorship focuses on Product Management with practical applications.,Available,,freshman,Beginner,4,2024-05-14 00:00:00,0,405,4,19
900,Mastering System Design,This mentorship focuses on System Design with practical applications.,Available,,graduate,Senior,3,2025-09-29 00:00:00,0,379,1,6
538,Introduction to Deep Learning,This mentorship focuses on Deep Learning with practical applications.,Available,,freshman,Senior,4,2025-08-11 00:00:00,0,914,2,8
611,Introduction to Product Design,This mentorship focuses on Product Design with practical applications.,Available,,junior,Beginner,6,2025-06-20 00:00:00,0,156,3,15
710,Introduction to UI/UX Design,This mentorship focuses on UI/UX Design with practical applications.,Available,,freshman,Junior,8,2025-07-10 00:00:00,1,151,3,14
2643,Frontend Development for Beginners,This mentorship focuses on Frontend Development with practical applications.,Available,,freshman,Beginner,3,2025-08-11 00:00:00,0,941,1,2
745,System Design for Real Projects,This mentorship focuses on System Design with practical applications.,Available,,graduate,Mid,5,2025-09-18 00:00:00,0,1437,1,6
3094,Hands-on Branding Training,This mentorship focuses on Branding with practical applications.,Available,,junior,Mid,2,2024-12-13 00:00:00,0,1316,3,18
1999,Mastering Data Science,This mentorship focuses on Data Science with practical applications.,Available,,sophomore,Mid,4,2025-09-21 00:00:00,0,296,2,12
168,Hands-on Entrepreneurship Training,This mentorship focuses on Entrepreneurship with practical applications.,Available,,freshman,Senior,8,2023-12-31 00:00:00,0,405,4,23
3190,System Design for Real Projects,This mentorship focuses on System Design with practical applications.,Available,,freshman,Junior,5,2025-06-25 00:00:00,0,830,1,6
2560,Data Analysis for Beginners,This mentorship focuses on Data Analysis with practical applications.,Available,,senior,Junior,3,2025-08-17 00:00:00,0,1221,2,11
397,Backend Development for Beginners,This mentorship focuses on Backend Development with practical applications.,Available,,sophomore,Mid,7,2025-01-04 00:00:00,0,843,1,1
2171,Introduction to Career Coaching,This mentorship focuses on Career Coaching with practical applications.,Available,,freshman,Beginner,8,2025-02-05 00:00:00,1,1095,4,22
2202,Mastering Career Coaching,This mentorship focuses on Career Coaching with practical applications.,Available,,freshman,Junior,7,2025-07-12 00:00:00,0,759,4,22
1259,Machine Learning for Beginners,This mentorship focuses on Machine Learning with practical applications.,Available,,junior,Senior,5,2025-03-07 00:00:00,0,951,2,7
2296,Entrepreneurship for Beginners,This mentorship focuses on Entrepreneurship with practical applications.,Available,,senior,Beginner,4,2025-05-01 00:00:00,0,1325,4,23
2954,Introduction to Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Junior,8,2025-08-19 00:00:00,0,1190,1,4
670,Mastering Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,freshman,Senior,7,2025-10-09 00:00:00,0,174,1,3
1195,Hands-on Branding Training,This mentorship focuses on Branding with practical applications.,Available,,senior,Beginner,10,2025-07-22 00:00:00,0,517,3,18
2016,Computer Vision for Real Projects,This mentorship focuses on Computer Vision with practical applications.,Available,,freshman,Junior,5,2025-05-11 00:00:00,0,786,2,9
2076,Hands-on Product Design Training,This mentorship focuses on Product Design with practical applications.,Available,,graduate,Senior,5,2025-10-14 00:00:00,0,548,3,15
2556,Data Analysis for Real Projects,This mentorship focuses on Data Analysis with practical applications.,Available,,sophomore,Senior,6,2025-06-06 00:00:00,0,1153,2,11
3018,Frontend Development for Beginners,This mentorship focuses on Frontend Development with practical applications.,Available,,junior,Beginner,2,2025-07-17 00:00:00,0,105,1,2
152,Mastering Branding,This mentorship focuses on Branding with practical applications.,Available,,senior,Beginner,2,2025-09-05 00:00:00,0,1408,3,18
375,Introduction to Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Junior,5,2025-08-16 00:00:00,0,1365,1,3
1096,Mastering System Design,This mentorship focuses on System Design with practical applications.,Available,,senior,Senior,10,2025-09-21 00:00:00,0,649,1,6
89,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,sophomore,Junior,6,2025-05-19 00:00:00,0,489,1,3
1086,Hands-on Deep Learning Training,This mentorship focuses on Deep Learning with practical applications.,Available,,graduate,Junior,10,2025-05-07 00:00:00,0,119,2,8
1100,Mastering Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,senior,Junior,10,2025-10-11 00:00:00,0,994,1,3
86,Graphic Design for Real Projects,This mentorship focuses on Graphic Design with practical applications.,Available,,senior,Mid,7,2025-04-03 00:00:00,0,243,3,16
2743,DevOps & Cloud for Real Projects,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,sophomore,Beginner,5,2025-10-05 00:00:00,0,217,1,5
3046,Frontend Development for Beginners,This mentorship focuses on Frontend Development with practical applications.,Available,,junior,Junior,5,2025-09-15 00:00:00,0,381,1,2
2819,Introduction to Full Stack Development,This mentorship focuses on Full Stack Development with practical applications.,Available,,junior,Senior,10,2024-05-21 00:00:00,0,490,1,3
1044,Deep Learning for Real Projects,This mentorship focuses on Deep Learning with practical applications.,Available,,graduate,Senior,8,2025-10-10 00:00:00,0,96,2,8
2584,Hands-on Product Management Training,This mentorship focuses on Product Management with practical applications.,Available,,senior,Senior,6,2025-07-10 00:00:00,0,1099,4,19
376,Hands-on Mobile Development Training,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Mid,7,2025-09-04 00:00:00,0,1365,1,4
2839,Mastering Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,sophomore,Mid,8,2024-09-30 00:00:00,0,331,1,4
2391,Introduction to Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,senior,Beginner,8,2024-06-06 00:00:00,0,318,1,1
241,Backend Development for Real Projects,This mentorship focuses on Backend Development with practical applications.,Available,,junior,Mid,6,2025-06-05 00:00:00,0,883,1,1
2275,Mastering Motion Design,This mentorship focuses on Motion Design with practical applications.,Available,,graduate,Senior,1,2025-07-07 00:00:00,0,809,3,17
2071,Machine Learning for Real Projects,This mentorship focuses on Machine Learning with practical applications.,Available,,sophomore,Senior,8,2025-09-01 00:00:00,0,683,2,7
498,Introduction to Frontend Development,This mentorship focuses on Frontend Development with practical applications.,Available,,senior,Senior,2,2025-01-29 00:00:00,0,192,1,2
2486,Introduction to System Design,This mentorship focuses on System Design with practical applications.,Available,,sophomore,Beginner,2,2025-09-29 00:00:00,0,1247,1,6
1303,Mobile Development for Real Projects,This mentorship focuses on Mobile Development with practical applications.,Available,,senior,Beginner,4,2025-04-24 00:00:00,0,938,1,4
2488,Introduction to System Design,This mentorship focuses on System Design with practical applications.,Available,,freshman,Junior,5,2025-10-11 00:00:00,0,1247,1,6
808,DevOps & Cloud for Real Projects,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,graduate,Senior,7,2024-09-07 00:00:00,0,236,1,5
3170,Introduction to Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,senior,Beginner,8,2025-02-15 00:00:00,0,81,1,4
1418,Backend Development for Beginners,This mentorship focuses on Backend Development with practical applications.,Available,,graduate,Junior,4,2025-10-14 00:00:00,0,1464,1,1
2976,Introduction to Data Engineering,This mentorship focuses on Data Engineering with practical applications.,Available,,graduate,Junior,5,2025-10-16 00:00:00,0,1427,2,13
2897,Hands-on Frontend Development Training,This mentorship focuses on Frontend Development with practical applications.,Available,,junior,Senior,8,2025-04-01 00:00:00,0,1220,1,2
521,Mastering Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,senior,Senior,5,2025-07-03 00:00:00,0,158,1,1
3131,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Junior,4,2025-05-20 00:00:00,0,1068,1,3
2999,Business Analysis for Beginners,This mentorship focuses on Business Analysis with practical applications.,Available,,senior,Senior,1,2025-10-04 00:00:00,0,1342,4,20
3031,Mastering DevOps & Cloud,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,freshman,Mid,2,2025-09-19 00:00:00,0,863,1,5
681,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,freshman,Junior,3,2025-05-12 00:00:00,0,1426,1,3
2043,Hands-on Computer Vision Training,This mentorship focuses on Computer Vision with practical applications.,Available,,junior,Mid,7,2025-10-16 00:00:00,0,600,2,9
2081,Mobile Development for Real Projects,This mentorship focuses on Mobile Development with practical applications.,Available,,graduate,Senior,10,2025-10-06 00:00:00,0,146,1,4
508,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Junior,2,2024-11-26 00:00:00,0,927,1,3
2251,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,junior,Beginner,8,2025-02-21 00:00:00,0,785,1,3
2372,Hands-on Mobile Development Training,This mentorship focuses on Mobile Development with practical applications.,Available,,sophomore,Senior,9,2025-02-09 00:00:00,0,194,1,4
698,Hands-on Graphic Design Training,This mentorship focuses on Graphic Design with practical applications.,Available,,sophomore,Beginner,8,2025-04-14 00:00:00,0,407,3,16
1795,Hands-on UI/UX Design Training,This mentorship focuses on UI/UX Design with practical applications.,Available,,graduate,Beginner,6,2025-10-14 00:00:00,0,1215,3,14
1426,Hands-on Backend Development Training,This mentorship focuses on Backend Development with practical applications.,Available,,graduate,Mid,9,2025-09-14 00:00:00,0,564,1,1
3133,Introduction to UI/UX Design,This mentorship focuses on UI/UX Design with practical applications.,Available,,sophomore,Beginner,8,2025-01-09 00:00:00,0,76,3,14
1337,System Design for Real Projects,This mentorship focuses on System Design with practical applications.,Available,,sophomore,Junior,8,2025-07-16 00:00:00,0,716,1,6
519,Mobile Development for Beginners,This mentorship focuses on Mobile Development with practical applications.,Available,,graduate,Junior,8,2023-11-24 00:00:00,0,158,1,4
1131,Hands-on Deep Learning Training,This mentorship focuses on Deep Learning with practical applications.,Available,,freshman,Beginner,5,2025-06-15 00:00:00,0,668,2,8
395,Mastering Frontend Development,This mentorship focuses on Frontend Development with practical applications.,Available,,graduate,Mid,10,2025-03-31 00:00:00,0,1336,1,2
1375,Graphic Design for Beginners,This mentorship focuses on Graphic Design with practical applications.,Available,,sophomore,Beginner,6,2025-04-23 00:00:00,0,107,3,16
329,Introduction to Frontend Development,This mentorship focuses on Frontend Development with practical applications.,Available,,freshman,Mid,9,2025-10-05 00:00:00,0,451,1,2
2990,Mastering Data Science,This mentorship focuses on Data Science with practical applications.,Available,,senior,Junior,2,2025-08-11 00:00:00,0,1307,2,12
2217,Mastering Deep Learning,This mentorship focuses on Deep Learning with practical applications.,Available,,graduate,Senior,5,2025-08-25 00:00:00,0,542,2,8
1348,Hands-on Full Stack Development Training,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Senior,6,2025-09-27 00:00:00,0,1459,1,3
691,Mastering Frontend Development,This mentorship focuses on Frontend Development with practical applications.,Available,,senior,Junior,7,2025-01-06 00:00:00,0,670,1,2
1589,Full Stack Development for Real Projects,This mentorship focuses on Full Stack Development with practical applications.,Available,,graduate,Junior,8,2025-04-05 00:00:00,0,718,1,3
720,Mastering Natural Language Processing,This mentorship focuses on Natural Language Processing with practical applications.,Available,,junior,Beginner,9,2025-09-06 00:00:00,0,999,2,10
663,Mastering Motion Design,This mentorship focuses on Motion Design with practical applications.,Available,,graduate,Senior,10,2025-09-25 00:00:00,0,306,3,17
1529,Hands-on Entrepreneurship Training,This mentorship focuses on Entrepreneurship with practical applications.,Available,,graduate,Junior,1,2025-07-16 00:00:00,1,579,4,23
631,Introduction to Data Analysis,This mentorship focuses on Data Analysis with practical applications.,Available,,graduate,Senior,5,2025-06-02 00:00:00,0,374,2,11
2055,Mastering Natural Language Processing,This mentorship focuses on Natural Language Processing with practical applications.,Available,,sophomore,Mid,6,2025-05-21 00:00:00,0,1260,2,10
1566,Data Science for Real Projects,This mentorship focuses on Data Science with practical applications.,Available,,sophomore,Beginner,5,2025-10-04 00:00:00,1,117,2,12
546,Full Stack Development for Beginners,This mentorship focuses on Full Stack Development with practical applications.,Available,,senior,Senior,6,2025-09-03 00:00:00,0,244,1,3
99,Full Stack Development for Beginners,This mentorship focuses on Full Stack Development with practical applications.,Available,,sophomore,Mid,6,2025-10-14 00:00:00,0,239,1,3
2203,Introduction to DevOps & Cloud,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,freshman,Mid,3,2024-10-01 00:00:00,0,474,1,5
2178,DevOps & Cloud for Real Projects,This mentorship focuses on DevOps & Cloud with practical applications.,Available,,freshman,Senior,4,2024-02-08 00:00:00,0,1333,1,5
114,Introduction to Product Management,This mentorship focuses on Product Management with practical applications.,Available,,freshman,Junior,4,2025-10-17 00:00:00,0,761,4,19
729,Introduction to System Design,This mentorship focuses on System Design with practical applications.,Available,,sophomore,Beginner,10,2025-06-11 00:00:00,0,895,1,6
275,Mastering Graphic Design,This mentorship focuses on Graphic Design with practical applications.,Available,,freshman,Junior,3,2024-12-15 00:00:00,0,108,3,16
452,Graphic Design for Beginners,This mentorship focuses on Graphic Design with practical applications.,Available,,junior,Mid,4,2025-07-22 00:00:00,0,913,3,16
1674,Introduction to Machine Learning,This mentorship focuses on Machine Learning with practical applications.,Available,,graduate,Beginner,3,2025-09-10 00:00:00,0,614,2,7
3089,Computer Vision for Real Projects,This mentorship focuses on Computer Vision with practical applications.,Available,,junior,Mid,8,2025-09-23 00:00:00,0,1393,2,9
2513,Mobile Development for Real Projects,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Senior,8,2025-08-18 00:00:00,0,1318,1,4
2611,Mastering Product Design,This mentorship focuses on Product Design with practical applications.,Available,,sophomore,Senior,5,2025-07-14 00:00:00,0,212,3,15
1743,Mastering Backend Development,This mentorship focuses on Backend Development with practical applications.,Available,,junior,Mid,1,2025-08-04 00:00:00,0,101,1,1
3200,Product Design for Beginners,This mentorship focuses on Product Design with practical applications.,Available,,freshman,Junior,6,2025-09-07 00:00:00,0,1400,3,15
668,Mastering System Design,This mentorship focuses on System Design with practical applications.,Available,,freshman,Mid,10,2025-09-23 00:00:00,0,174,1,6
738,Hands-on Deep Learning Training,This mentorship focuses on Deep Learning with practical applications.,Available,,senior,Mid,2,2025-06-11 00:00:00,0,835,2,8
2458,Mastering Project Management,This mentorship focuses on Project Management with practical applications.,Available,,graduate,Mid,4,2025-05-21 00:00:00,0,596,4,21
195,Mastering Mobile Development,This mentorship focuses on Mobile Development with practical applications.,Available,,freshman,Junior,8,2024-10-01 00:00:00,0,1085,1,4
1786,UI/UX Design for Real Projects,This mentorship focuses on UI/UX Design with practical applications.,Available,,sophomore,Beginner,5,2024-09-29 00:00:00,0,329,3,14
2314,Natural Language Processing for Real Projects,This mentorship focuses on Natural Language Processing with practical applications.,Available,,graduate,Mid,9,2025-10-15 00:00:00,0,762,2,10
805,Entrepreneurship for Beginners,This mentorship focuses on Entrepreneurship with practical applications.,Available,,freshman,Senior,2,2025-04-16 00:00:00,0,1200,4,23
